,pair,trial
75602,212,1
75619,212,2
75636,212,3
75665,212,4
75733,212,8
75767,212,10
75852,212,15
75915,212,18
75996,212,23
76112,212,29
76142,212,31
76176,212,33
76284,212,39
76303,212,40
76320,212,41
76430,212,47
76466,212,49
76512,212,51
76612,212,57
76627,212,58
76730,212,63
76735,212,64
76809,212,68
76898,212,73
76978,212,77
77080,212,83
77184,212,89
77207,212,90
77262,212,93
77328,212,97
77472,212,105
77529,212,108
77546,212,109
77565,212,110
77616,212,113
77652,212,115
77724,212,119
77760,212,121
77796,212,123
77904,212,129
77940,212,131
78012,212,135
78039,212,136
78084,212,139
78151,212,142
78264,212,149
78285,212,150
78336,212,153
78480,212,161
78516,212,163
78552,212,165
78575,212,166
78588,212,167
78753,212,176
78768,212,177
78789,212,178
78810,212,179
78876,212,183
78912,212,185
78948,212,187
79020,212,191
79056,212,193
79128,212,197
79164,212,199
79291,212,206
79344,212,209
79380,212,211
79416,212,213
79452,212,215
79488,212,217
79545,212,220
79560,212,221
79596,212,223
79668,212,227
79740,212,231
79776,212,233
79848,212,237
79956,212,243
79992,212,245
80028,212,247
80064,212,249
80100,212,251
80136,212,253
80172,212,255
80246,212,259
80337,212,264
80409,212,268
80424,212,269
80519,212,274
80568,212,277
80587,212,278
80712,212,285
80820,212,291
80928,212,297
