pair,condition,block,trial,subject,tapnr,ttap,jitter,player_start_first
203,blind,1,1,1,1,3.4882519245147705,0.075,1
203,blind,1,1,1,2,4.149056911468506,0.075,1
203,blind,1,1,1,3,4.818118095397949,0.075,1
203,blind,1,1,1,4,5.473999977111816,0.075,1
203,blind,1,1,1,5,6.185977935791016,0.075,1
203,blind,1,1,1,6,6.85000205039978,0.075,1
203,blind,1,1,1,7,7.507999897003174,0.075,1
203,blind,1,1,1,8,8.223176956176758,0.075,1
203,blind,1,1,1,9,8.854206085205078,0.075,1
203,blind,1,1,2,1,3.3793299198150635,0.075,1
203,blind,1,1,2,2,4.0939719676971436,0.075,1
203,blind,1,1,2,3,4.752054929733276,0.075,1
203,blind,1,1,2,4,5.4019598960876465,0.075,1
203,blind,1,1,2,5,6.074162006378174,0.075,1
203,blind,1,1,2,6,6.729132890701294,0.075,1
203,blind,1,1,2,7,7.3661370277404785,0.075,1
203,blind,1,1,2,8,8.025386095046997,0.075,1
203,blind,1,1,2,9,8.701112985610962,0.075,1
203,blind,1,2,1,1,3.208534002304077,0.025,2
203,blind,1,2,1,2,3.945406913757324,0.025,2
203,blind,1,2,1,3,4.852344989776611,0.025,2
203,blind,1,2,1,4,5.6433069705963135,0.025,2
203,blind,1,2,1,5,6.439358949661255,0.025,2
203,blind,1,2,1,6,7.2002949714660645,0.025,2
203,blind,1,2,1,7,7.969325065612793,0.025,2
203,blind,1,2,1,8,8.66549801826477,0.025,2
203,blind,1,2,1,9,9.350389003753662,0.025,2
203,blind,1,2,2,1,3.443495035171509,0.025,2
203,blind,1,2,2,2,4.280472040176392,0.025,2
203,blind,1,2,2,3,5.0713889598846436,0.025,2
203,blind,1,2,2,4,5.8164520263671875,0.025,2
203,blind,1,2,2,5,6.4924421310424805,0.025,2
203,blind,1,2,2,6,7.210408926010132,0.025,2
203,blind,1,2,2,7,7.893232107162476,0.025,2
203,blind,1,2,2,8,8.585638046264648,0.025,2
203,blind,1,2,2,9,9.288456916809082,0.025,2
203,blind,1,3,1,1,3.649428129196167,0.075,2
203,blind,1,3,1,2,4.288470983505249,0.075,2
203,blind,1,3,1,3,4.971526145935059,0.075,2
203,blind,1,3,1,4,5.645489931106567,0.075,2
203,blind,1,3,1,5,6.3280041217803955,0.075,2
203,blind,1,3,1,6,7.014317989349365,0.075,2
203,blind,1,3,1,7,7.75757908821106,0.075,2
203,blind,1,3,1,8,8.45354700088501,0.075,2
203,blind,1,3,1,9,9.152533054351807,0.075,2
203,blind,1,3,2,1,3.5586230754852295,0.075,2
203,blind,1,3,2,2,4.2626731395721436,0.075,2
203,blind,1,3,2,3,4.93162202835083,0.075,2
203,blind,1,3,2,4,5.607640027999878,0.075,2
203,blind,1,3,2,5,6.29846715927124,0.075,2
203,blind,1,3,2,6,7.028051137924194,0.075,2
203,blind,1,3,2,7,7.747396945953369,0.075,2
203,blind,1,3,2,8,8.443344116210938,0.075,2
203,blind,1,3,2,9,9.142379999160767,0.075,2
203,blind,1,4,1,1,3.3015189170837402,0.05,2
203,blind,1,4,1,2,3.9514970779418945,0.05,2
203,blind,1,4,1,3,4.633517026901245,0.05,2
203,blind,1,4,1,4,5.3244469165802,0.05,2
203,blind,1,4,1,5,6.040463924407959,0.05,2
203,blind,1,4,1,6,6.699398040771484,0.05,2
203,blind,1,4,1,7,7.392366886138916,0.05,2
203,blind,1,4,1,8,8.085412979125977,0.05,2
203,blind,1,4,1,9,8.74348497390747,0.05,2
203,blind,1,4,2,1,3.291400909423828,0.05,2
203,blind,1,4,2,2,4.009555101394653,0.05,2
203,blind,1,4,2,3,4.6805949211120605,0.05,2
203,blind,1,4,2,4,5.341547012329102,0.05,2
203,blind,1,4,2,5,6.024172067642212,0.05,2
203,blind,1,4,2,6,6.751507997512817,0.05,2
203,blind,1,4,2,7,7.416469097137451,0.05,2
203,blind,1,4,2,8,8.095571041107178,0.05,2
203,blind,1,4,2,9,8.78863000869751,0.05,2
203,blind,1,5,1,1,3.2302968502044678,0.075,2
203,blind,1,5,1,2,4.075160026550293,0.075,2
203,blind,1,5,1,3,4.852375030517578,0.075,2
203,blind,1,5,1,4,5.586285829544067,0.075,2
203,blind,1,5,1,5,6.2862749099731445,0.075,2
203,blind,1,5,1,6,7.02226996421814,0.075,2
203,blind,1,5,1,7,7.7492828369140625,0.075,2
203,blind,1,5,1,8,8.461280822753906,0.075,2
203,blind,1,5,1,9,9.121832847595215,0.075,2
203,blind,1,5,2,1,3.650207042694092,0.075,2
203,blind,1,5,2,2,4.413316011428833,0.075,2
203,blind,1,5,2,3,5.09628701210022,0.075,2
203,blind,1,5,2,4,5.7293829917907715,0.075,2
203,blind,1,5,2,5,6.376384973526001,0.075,2
203,blind,1,5,2,6,7.009986877441406,0.075,2
203,blind,1,5,2,7,7.696934938430786,0.075,2
203,blind,1,5,2,8,8.413377046585083,0.075,2
203,blind,1,5,2,9,9.16136384010315,0.075,2
203,blind,1,6,1,1,3.925071954727173,0.025,2
203,blind,1,6,1,2,4.489035129547119,0.025,2
203,blind,1,6,1,3,5.147999048233032,0.025,2
203,blind,1,6,1,4,5.815961122512817,0.025,2
203,blind,1,6,1,5,6.417943954467773,0.025,2
203,blind,1,6,1,6,7.06099796295166,0.025,2
203,blind,1,6,1,7,7.741150140762329,0.025,2
203,blind,1,6,1,8,8.384212017059326,0.025,2
203,blind,1,6,1,9,9.019050121307373,0.025,2
203,blind,1,6,2,1,3.6681759357452393,0.025,2
203,blind,1,6,2,2,4.43013596534729,0.025,2
203,blind,1,6,2,3,5.089187145233154,0.025,2
203,blind,1,6,2,4,5.707107067108154,0.025,2
203,blind,1,6,2,5,6.328185081481934,0.025,2
203,blind,1,6,2,6,7.021100997924805,0.025,2
203,blind,1,6,2,7,7.675188064575195,0.025,2
203,blind,1,6,2,8,8.34522008895874,0.025,2
203,blind,1,6,2,9,8.991006135940552,0.025,2
203,blind,1,7,1,1,3.958956003189087,0.075,1
203,blind,1,7,1,2,4.817171096801758,0.075,1
203,blind,1,7,1,3,5.452153921127319,0.075,1
203,blind,1,7,1,4,6.067118883132935,0.075,1
203,blind,1,7,1,5,6.671324968338013,0.075,1
203,blind,1,7,1,6,7.341373920440674,0.075,1
203,blind,1,7,1,7,7.936168909072876,0.075,1
203,blind,1,7,1,8,8.560276985168457,0.075,1
203,blind,1,7,1,9,9.18710207939148,0.075,1
203,blind,1,7,2,1,4.179347038269043,0.075,1
203,blind,1,7,2,2,4.7291100025177,0.075,1
203,blind,1,7,2,3,5.372315883636475,0.075,1
203,blind,1,7,2,4,5.996299982070923,0.075,1
203,blind,1,7,2,5,6.624417066574097,0.075,1
203,blind,1,7,2,6,7.2550880908966064,0.075,1
203,blind,1,7,2,7,7.906263113021851,0.075,1
203,blind,1,7,2,8,8.550121068954468,0.075,1
203,blind,1,7,2,9,9.153076887130737,0.075,1
203,blind,1,8,1,1,3.4047739505767822,0.05,2
203,blind,1,8,1,2,3.9257588386535645,0.05,2
203,blind,1,8,1,3,4.532608985900879,0.05,2
203,blind,1,8,1,4,5.163616895675659,0.05,2
203,blind,1,8,1,5,5.825659990310669,0.05,2
203,blind,1,8,1,6,6.450629949569702,0.05,2
203,blind,1,8,1,7,7.054626941680908,0.05,2
203,blind,1,8,1,8,7.628448009490967,0.05,2
203,blind,1,8,1,9,8.298642873764038,0.05,2
203,blind,1,8,2,1,3.158829927444458,0.05,2
203,blind,1,8,2,2,3.838796854019165,0.05,2
203,blind,1,8,2,3,4.505762815475464,0.05,2
