,pair,trial
48619,201,2
48642,201,3
48790,201,11
48900,201,17
48968,201,21
49061,201,26
49078,201,27
49108,201,29
49182,201,33
49222,201,35
49483,201,50
49527,201,52
49665,201,60
49680,201,61
49758,201,65
49915,201,74
50014,201,79
50040,201,81
50184,201,89
50220,201,91
50518,201,107
50582,201,111
50802,201,123
50815,201,124
50923,201,130
51412,201,157
51480,201,161
51556,201,165
51573,201,166
51590,201,167
51619,201,168
51687,201,172
51700,201,173
52214,201,201
52255,201,204
52488,201,217
52591,201,222
52820,201,235
52843,201,236
52860,201,237
52962,201,243
53169,201,254
53828,201,291
