,0,1,2
0,261609,4,
1,693952,1,
2,694020,2,
3,705779,2,
4,705915,1,
5,717656,2,
6,717741,1,
7,728219,2,
8,728287,1,
9,739925,1,
10,740061,2,
11,750966,2,
12,751034,1,
13,769276,3,
14,770311,48,
15,770351,4,
16,770471,5,
17,773771,15,59.339627372757406
18,773882,6,59.339627372757406
19,774503,16,29.63941151274696
20,774559,7,29.63941151274696
21,775176,17,36.260705322635516
22,775244,8,36.260705322635516
23,775842,18,36.42588770137232
24,775916,9,36.42588770137232
25,776530,19,60.62089267999018
26,776645,10,60.62089267999018
27,777201,20,66.12923996038904
28,777325,11,66.12923996038904
29,777853,21,71.40977507525827
30,777998,12,71.40977507525827
31,778528,22,112.83902237026244
32,778731,13,112.83902237026244
33,779220,23,
34,779377,14,
35,779387,49,
36,782282,48,
37,782330,5,
38,782399,4,
39,785567,6,101.06128522823873
40,785808,15,101.06128522823873
41,786322,7,152.5108927437783
42,786665,16,152.5108927437783
43,787250,8,105.83779117004377
44,787475,17,105.83779117004377
45,788060,9,92.2087759072389
46,788238,18,92.2087759072389
47,788875,10,26.616753631485437
48,788930,19,26.616753631485437
49,789655,11,5.332308182214803
50,789665,20,5.332308182214803
51,790363,21,39.56272396743813
52,790441,12,39.56272396743813
53,791073,22,40.90611553695649
54,791155,13,40.90611553695649
55,791793,23,
56,791856,14,
57,791866,49,
58,794760,48,
59,794805,5,
60,794924,4,
61,798404,15,51.15434609042168
62,798497,6,51.15434609042168
63,799125,16,13.596594135794504
64,799151,7,13.596594135794504
65,799810,17,21.31491727951905
66,799851,8,21.31491727951905
67,800501,18,19.964368953201728
68,800540,9,19.964368953201728
69,801209,19,15.493358076766043
70,801240,10,15.493358076766043
71,801942,11,6.651677983026161
72,801956,20,6.651677983026161
73,802693,21,5.266868121383936
74,802703,12,5.266868121383936
75,803406,22,5.2548093977679
76,803416,13,5.2548093977679
77,804121,23,
78,804132,14,
79,804142,49,
80,806786,48,
81,806835,5,
82,806920,4,
83,810156,15,5.072006538835581
84,810166,6,5.072006538835581
85,810832,7,31.147016658109465
86,810892,16,31.147016658109465
87,811531,8,25.64186140131028
88,811579,17,25.64186140131028
89,812238,9,9.01817831280863
90,812256,18,9.01817831280863
91,812955,19,8.063768328772142
92,812971,10,8.063768328772142
93,813646,11,28.211551679443915
94,813699,20,28.211551679443915
95,814356,12,12.776868092516395
96,814380,21,12.776868092516395
97,815065,13,5.2764663387104065
98,815076,22,5.2764663387104065
99,815739,14,
100,815785,23,
101,815795,49,
102,818698,48,
103,818746,5,
104,818865,4,
105,822005,6,178.9256219570251
106,822435,15,178.9256219570251
107,822870,7,156.6312460964773
108,823217,16,156.6312460964773
109,823666,8,119.64439477689412
110,823916,17,119.64439477689412
111,824418,9,73.59397431919446
112,824564,18,73.59397431919446
113,825134,10,44.07587074386771
114,825227,19,44.07587074386771
115,825875,20,6.08230116095001
116,825888,11,6.08230116095001
117,826579,21,26.468113433987327
118,826632,12,26.468113433987327
119,827312,22,26.10749611269452
120,827361,13,26.10749611269452
121,828038,14,
122,828078,23,
123,828088,49,
124,830472,48,
125,830521,5,
126,830589,4,
127,834228,15,121.374564597302
128,834491,6,121.374564597302
129,835008,16,32.1730690408757
130,835068,7,32.1730690408757
131,835683,17,34.26380074575317
132,835743,8,34.26380074575317
133,836315,18,63.09587368857504
134,836427,9,63.09587368857504
135,836951,19,46.633644152358215
136,837043,10,46.633644152358215
137,837661,20,21.958708774385457
138,837702,11,21.958708774385457
139,838331,21,35.44061561716504
140,838398,12,35.44061561716504
141,839016,22,21.73644689571043
142,839055,13,21.73644689571043
143,839678,23,
144,839706,14,
145,839717,49,
146,842349,48,
147,842397,4,
148,842517,5,
149,846403,6,92.44858686276172
150,846628,15,92.44858686276172
151,847191,16,49.925750316054035
152,847281,7,49.925750316054035
153,847850,17,46.73712369395332
154,847931,8,46.73712369395332
155,848488,18,42.19554388246658
156,848560,9,42.19554388246658
157,849132,19,25.202404364662215
158,849180,10,25.202404364662215
159,849777,20,52.22454665816349
160,849866,11,52.22454665816349
161,850444,21,17.25035613338227
162,850475,12,17.25035613338227
163,851103,22,5.832775156470177
164,851114,13,5.832775156470177
165,851721,23,
