,sample,eventcode,eventname,alpha
0,8466,1,,
1,8534,2,,
2,18961,1,,
3,19029,2,,
4,29437,2,,
5,29506,1,,
6,39506,2,,
7,39643,1,,
8,50036,2,,
9,50155,1,,
10,64779,3,,
11,65815,48,,
12,65854,4,,
13,65974,5,,
14,69128,6,s1/t1,124.93926932440887
15,69423,15,s2/t1,124.93926932440887
16,69978,7,s1/t2,14.320420798221562
17,70004,16,s2/t2,14.320420798221562
18,70627,17,s2/t3,11.014986023445372
19,70647,8,s1/t3,11.014986023445372
20,71286,18,s2/t4,13.782137860554284
21,71312,9,s1/t4,13.782137860554284
22,71920,19,s2/t5,32.59072017111109
23,71977,10,s1/t5,32.59072017111109
24,72590,20,s2/t6,11.08770671210263
25,72610,11,s1/t6,11.08770671210263
26,73231,21,s2/t7,23.220387856510115
27,73272,12,s1/t7,23.220387856510115
28,73895,22,s2/t8,5.802031760281437
29,73906,13,s1/t8,5.802031760281437
30,74516,23,s2/t9,
31,74548,14,s1/t9,
32,74558,49,,
33,77443,48,,
34,77492,4,,
35,77611,5,,
36,80942,6,s1/t1,175.71876657870664
37,81232,15,s2/t1,175.71876657870664
38,81774,7,s1/t2,6.1824298877697865
39,81799,16,s2/t2,6.1824298877697865
40,83287,17,s2/t3,16.757302107993155
41,83316,8,s1/t3,16.757302107993155
42,83926,18,s2/t4,25.67362888661037
43,83971,9,s1/t4,25.67362888661037
44,84557,19,s2/t5,53.317880324783495
45,84654,10,s1/t5,53.317880324783495
46,85208,20,s2/t6,57.53088310094754
47,85319,11,s1/t6,57.53088310094754
48,85906,21,s2/t7,14.96615499725266
49,85935,12,s1/t7,14.96615499725266
50,86584,13,s1/t8,6.021601118481583
51,86595,22,s2/t8,6.021601118481583
52,87227,23,s2/t9,
53,87247,14,s1/t9,
54,87258,49,,
55,89901,48,,
56,89950,5,,
57,90069,4,,
58,93441,6,s1/t1,110.6867593409473
59,93693,15,s2/t1,110.6867593409473
60,94260,7,s1/t2,14.313209287524018
61,94287,16,s2/t2,14.313209287524018
62,94955,8,s1/t3,19.810998271971755
63,94992,17,s2/t3,19.810998271971755
64,95628,9,s1/t4,29.532363949701704
65,95682,18,s2/t4,29.532363949701704
66,96291,10,s1/t5,5.481594436894226
67,96301,19,s2/t5,5.481594436894226
68,96968,11,s1/t6,5.284986713214664
69,96979,20,s2/t6,5.284986713214664
70,97582,21,s2/t7,51.666904570118675
71,97672,12,s1/t7,51.666904570118675
72,98260,22,s2/t8,22.884695210978922
73,98300,13,s1/t8,22.884695210978922
74,98928,14,s1/t9,
75,98943,23,s2/t9,
76,98953,49,,
77,101845,48,,
78,101878,4,,
79,101998,5,,
80,105598,6,s1/t1,141.65589356379203
81,105835,15,s2/t1,141.65589356379203
82,106438,16,s2/t2,8.798666955081046
83,106456,7,s1/t2,8.798666955081046
84,107148,8,s1/t3,5.619879835021494
85,107158,17,s2/t3,5.619879835021494
86,107811,9,s1/t4,5.943677180027522
87,107822,18,s2/t4,5.943677180027522
88,108452,19,s2/t5,5.752280351921967
89,108463,10,s1/t5,5.752280351921967
90,109105,20,s2/t6,9.501819125757551
91,109122,11,s1/t6,9.501819125757551
92,109762,21,s2/t7,32.503063759936026
93,109809,12,s1/t7,32.503063759936026
94,110283,22,s2/t8,90.55297491104535
95,110486,13,s1/t8,90.55297491104535
96,111089,23,s2/t9,
97,111126,14,s1/t9,
98,111136,49,,
99,113518,48,,
100,113567,4,,
101,113653,5,,
102,117065,15,s2/t1,134.5110881795039
103,117298,6,s1/t1,134.5110881795039
104,117922,7,s1/t2,6.722159127601002
105,117936,16,s2/t2,6.722159127601002
106,118614,17,s2/t3,17.91059109143595
107,118644,8,s1/t3,17.91059109143595
108,119260,9,s1/t4,23.955162758375334
109,119304,18,s2/t4,23.955162758375334
110,119910,10,s1/t5,23.720592365879888
111,119953,19,s2/t5,23.720592365879888
112,120565,11,s1/t6,21.47574192769701
113,120604,20,s2/t6,21.47574192769701
114,121220,12,s1/t7,6.380464065351533
115,121232,21,s2/t7,6.380464065351533
116,121878,13,s1/t8,5.9366224685261395
117,121888,22,s2/t8,5.9366224685261395
118,122508,14,s1/t9,
119,122542,23,s2/t9,
120,122553,49,,
121,125190,48,,
122,125239,4,,
123,125358,5,,
124,129029,6,s1/t1,155.83566501899438
125,129295,15,s2/t1,155.83566501899438
126,129882,7,s1/t2,14.930590468373255
127,129910,16,s2/t2,14.930590468373255
128,130565,8,s1/t3,5.535667463896517
129,130576,17,s2/t3,5.535667463896517
130,131196,9,s1/t4,28.3628450464486
131,131250,18,s2/t4,28.3628450464486
132,131847,10,s1/t5,46.145070824222266
133,131930,19,s2/t5,46.145070824222266
134,132522,11,s1/t6,33.88762302564936
135,132577,20,s2/t6,33.88762302564936
136,133162,21,s2/t7,11.463118416125667
137,133186,12,s1/t7,11.463118416125667
138,133853,13,s1/t8,26.867646909724893
139,133902,22,s2/t8,26.867646909724893
140,134500,14,s1/t9,
141,134551,23,s2/t9,
142,134561,49,,
143,136948,48,,
144,137014,5,,
145,137134,4,,
146,140610,6,s1/t1,104.1632001614897
147,140865,15,s2/t1,104.1632001614897
148,141446,16,s2/t2,24.216399181689862
149,141491,7,s1/t2,24.216399181689862
150,142101,17,s2/t3,36.536158776391794
151,142164,8,s1/t3,36.536158776391794
152,142738,18,s2/t4,29.01056915633626
153,142789,9,s1/t4,29.01056915633626
154,143413,19,s2/t5,6.222550311180271
155,143424,10,s1/t5,6.222550311180271
156,144069,11,s1/t6,11.294532042934634
157,144089,20,s2/t6,11.294532042934634
158,144717,21,s2/t7,5.569169258658718
159,144727,12,s1/t7,5.569169258658718
160,145398,13,s1/t8,6.168356417126006
161,145408,22,s2/t8,6.168356417126006
162,146004,14,s1/t9,
163,146028,23,s2/t9,
164,146038,49,,
165,148416,48,,
166,148465,4,,
167,148533,5,,
168,152240,6,s1/t1,178.50542676276436
169,152548,15,s2/t1,178.50542676276436
170,153108,7,s1/t2,28.90316764558435
171,153159,16,s2/t2,28.90316764558435
172,153772,8,s1/t3,12.543546528871277
173,153795,17,s2/t3,12.543546528871277
174,154424,9,s1/t4,15.527851434756599
175,154451,18,s2/t4,15.527851434756599
176,155085,10,s1/t5,5.872732698470969
177,155095,19,s2/t5,5.872732698470969
178,155734,20,s2/t6,12.79869577475938
179,155756,11,s1/t6,12.79869577475938
180,156339,21,s2/t7,19.52665328003883
181,156372,12,s1/t7,19.52665328003883
182,156957,22,s2/t8,35.403631230569914
183,157020,13,s1/t8,35.403631230569914
184,157591,23,s2/t9,
185,157653,14,s1/t9,
186,157664,49,,
187,160037,48,,
188,160086,4,,
189,160154,5,,
190,163295,6,s1/t1,106.60744459388643
191,163546,15,s2/t1,106.60744459388643
192,164098,16,s2/t2,24.030370428530407
193,164143,7,s1/t2,24.030370428530407
194,164772,17,s2/t3,19.444852258355525
195,164808,8,s1/t3,19.444852258355525
196,165402,18,s2/t4,38.21177603153277
197,165471,9,s1/t4,38.21177603153277
198,166067,19,s2/t5,27.80463212880403
199,166116,10,s1/t5,27.80463212880403
200,166688,20,s2/t6,34.832197974655465
201,166751,11,s1/t6,34.832197974655465
202,167364,21,s2/t7,18.191989607381462
203,167398,12,s1/t7,18.191989607381462
204,168006,22,s2/t8,35.22632350298062
205,168066,13,s1/t8,35.22632350298062
206,168672,23,s2/t9,
207,168683,14,s1/t9,
208,168693,49,,
209,171590,48,,
210,171639,5,,
211,171775,4,,
212,175163,6,s1/t1,129.4493128516578
213,175416,15,s2/t1,129.4493128516578
214,176042,7,s1/t2,47.30760710609853
215,176119,16,s2/t2,47.30760710609853
216,176711,17,s2/t3,5.353696479063871
217,176721,8,s1/t3,5.353696479063871
218,177396,9,s1/t4,5.6846804787463165
219,177406,18,s2/t4,5.6846804787463165
220,178034,10,s1/t5,18.71621119335461
221,178067,19,s2/t5,18.71621119335461
222,178701,20,s2/t6,8.126596980255528
223,178716,11,s1/t6,8.126596980255528
224,179371,12,s1/t7,6.040942376088964
225,179382,21,s2/t7,6.040942376088964
226,180004,22,s2/t8,14.90769598675061
227,180030,13,s1/t8,14.90769598675061
228,180626,23,s2/t9,
229,180651,14,s1/t9,
230,180662,49,,
231,183040,48,,
232,183089,4,,
