pair,condition,block,trial,subject,tapnr,ttap,jitter,player_start_first
211,blind,1,1,1,1,3.731858015060425,0.1,1
211,blind,1,1,1,2,4.4718029499053955,0.1,1
211,blind,1,1,1,3,5.266665935516357,0.1,1
211,blind,1,1,1,4,6.186234951019287,0.1,1
211,blind,1,1,1,5,7.174231052398682,0.1,1
211,blind,1,1,1,6,8.177736043930054,0.1,1
211,blind,1,1,1,7,9.104722023010254,0.1,1
211,blind,1,1,1,8,10.057780981063843,0.1,1
211,blind,1,1,1,9,10.999798059463501,0.1,1
211,blind,1,1,2,1,3.240675926208496,0.1,1
211,blind,1,1,2,2,4.316718101501465,0.1,1
211,blind,1,1,2,3,5.325185060501099,0.1,1
211,blind,1,1,2,4,6.26104211807251,0.1,1
211,blind,1,1,2,5,7.211089134216309,0.1,1
211,blind,1,1,2,6,8.15048098564148,0.1,1
211,blind,1,1,2,7,9.130650043487549,0.1,1
211,blind,1,1,2,8,10.09260606765747,0.1,1
211,blind,1,1,2,9,11.045704126358032,0.1,1
211,blind,1,2,1,1,3.8563220500946045,0.1,1
211,blind,1,2,1,2,4.489906072616577,0.1,1
211,blind,1,2,1,3,5.482295989990234,0.1,1
211,blind,1,2,1,4,6.472084999084473,0.1,1
211,blind,1,2,1,5,7.383164167404175,0.1,1
211,blind,1,2,1,6,8.352244138717651,0.1,1
211,blind,1,2,1,7,9.302347183227539,0.1,1
211,blind,1,2,1,8,10.302314043045044,0.1,1
211,blind,1,2,1,9,11.293085098266602,0.1,1
211,blind,1,2,2,1,3.552510976791382,0.1,1
211,blind,1,2,2,2,4.618206977844238,0.1,1
211,blind,1,2,2,3,5.506091117858887,0.1,1
211,blind,1,2,2,4,6.482941150665283,0.1,1
211,blind,1,2,2,5,7.41821813583374,0.1,1
211,blind,1,2,2,6,8.38710618019104,0.1,1
211,blind,1,2,2,7,9.422125101089478,0.1,1
211,blind,1,2,2,8,10.281772136688232,0.1,1
211,blind,1,2,2,9,11.27797818183899,0.1,1
211,blind,1,3,1,1,3.85599422454834,0.05,2
211,blind,1,3,1,2,4.799715042114258,0.05,2
211,blind,1,3,1,3,5.7448530197143555,0.05,2
211,blind,1,3,1,4,6.669954061508179,0.05,2
211,blind,1,3,1,5,7.599676132202148,0.05,2
211,blind,1,3,1,6,8.520725011825562,0.05,2
211,blind,1,3,1,7,9.490647077560425,0.05,2
211,blind,1,3,1,8,10.430713176727295,0.05,2
211,blind,1,3,1,9,11.361683130264282,0.05,2
211,blind,1,3,2,1,3.918593168258667,0.05,2
211,blind,1,3,2,2,4.809808015823364,0.05,2
211,blind,1,3,2,3,5.754987001419067,0.05,2
211,blind,1,3,2,4,6.687722206115723,0.05,2
211,blind,1,3,2,5,7.6955530643463135,0.05,2
211,blind,1,3,2,6,8.591639041900635,0.05,2
211,blind,1,3,2,7,9.505561113357544,0.05,2
211,blind,1,3,2,8,10.519530057907104,0.05,2
211,blind,1,3,2,9,11.45758605003357,0.05,2
211,blind,1,4,1,1,3.893950939178467,0.025,1
211,blind,1,4,1,2,4.554693937301636,0.025,1
211,blind,1,4,1,3,5.514904975891113,0.025,1
211,blind,1,4,1,4,6.420991897583008,0.025,1
211,blind,1,4,1,5,7.387830972671509,0.025,1
211,blind,1,4,1,6,8.462850093841553,0.025,1
211,blind,1,4,1,7,9.193670988082886,0.025,1
211,blind,1,4,1,8,10.351814985275269,0.025,1
211,blind,1,4,1,9,11.229919910430908,0.025,1
211,blind,1,4,2,1,3.656752109527588,0.025,1
211,blind,1,4,2,2,4.655765056610107,0.025,1
211,blind,1,4,2,3,5.59874701499939,0.025,1
211,blind,1,4,2,4,6.513721942901611,0.025,1
211,blind,1,4,2,5,7.403826951980591,0.025,1
211,blind,1,4,2,6,8.339566946029663,0.025,1
211,blind,1,4,2,7,9.316750049591064,0.025,1
211,blind,1,4,2,8,10.233556032180786,0.025,1
211,blind,1,4,2,9,11.160867929458618,0.025,1
211,blind,1,5,1,1,3.421008825302124,0.1,1
211,blind,1,5,1,2,4.3468499183654785,0.1,1
211,blind,1,5,1,3,5.255751848220825,0.1,1
211,blind,1,5,1,4,6.137773036956787,0.1,1
211,blind,1,5,1,5,7.011742830276489,0.1,1
211,blind,1,5,1,6,7.900933027267456,0.1,1
211,blind,1,5,1,7,8.765023946762085,0.1,1
211,blind,1,5,1,8,9.78073000907898,0.1,1
211,blind,1,5,1,9,10.63280200958252,0.1,1
