,index,sample,eventcode,eventname
0,17,773771,15,s2/t1
1,18,773882,6,s1/t1
2,19,774503,16,s2/t2
3,20,774559,7,s1/t2
4,21,775176,17,s2/t3
5,22,775244,8,s1/t3
6,23,775842,18,s2/t4
7,24,775916,9,s1/t4
8,25,776530,19,s2/t5
9,26,776645,10,s1/t5
10,27,777201,20,s2/t6
11,28,777325,11,s1/t6
12,29,777853,21,s2/t7
13,30,777998,12,s1/t7
14,31,778528,22,s2/t8
15,32,778731,13,s1/t8
16,33,779220,23,s2/t9
17,34,779377,14,s1/t9
18,39,785567,6,s1/t1
19,40,785808,15,s2/t1
20,41,786322,7,s1/t2
21,42,786665,16,s2/t2
22,43,787250,8,s1/t3
23,44,787475,17,s2/t3
24,45,788060,9,s1/t4
25,46,788238,18,s2/t4
26,47,788875,10,s1/t5
27,48,788930,19,s2/t5
28,49,789655,11,s1/t6
29,50,789665,20,s2/t6
30,51,790363,21,s2/t7
31,52,790441,12,s1/t7
32,53,791073,22,s2/t8
33,54,791155,13,s1/t8
34,55,791793,23,s2/t9
35,56,791856,14,s1/t9
36,61,798404,15,s2/t1
37,62,798497,6,s1/t1
38,63,799125,16,s2/t2
39,64,799151,7,s1/t2
40,65,799810,17,s2/t3
41,66,799851,8,s1/t3
42,67,800501,18,s2/t4
43,68,800540,9,s1/t4
44,69,801209,19,s2/t5
45,70,801240,10,s1/t5
46,71,801942,11,s1/t6
47,72,801956,20,s2/t6
48,73,802693,21,s2/t7
49,74,802703,12,s1/t7
50,75,803406,22,s2/t8
51,76,803416,13,s1/t8
52,77,804121,23,s2/t9
53,78,804132,14,s1/t9
54,83,810156,15,s2/t1
55,84,810166,6,s1/t1
56,85,810832,7,s1/t2
57,86,810892,16,s2/t2
58,87,811531,8,s1/t3
59,88,811579,17,s2/t3
60,89,812238,9,s1/t4
61,90,812256,18,s2/t4
62,91,812955,19,s2/t5
63,92,812971,10,s1/t5
64,93,813646,11,s1/t6
65,94,813699,20,s2/t6
66,95,814356,12,s1/t7
67,96,814380,21,s2/t7
68,97,815065,13,s1/t8
69,98,815076,22,s2/t8
70,99,815739,14,s1/t9
71,100,815785,23,s2/t9
72,105,822005,6,s1/t1
73,106,822435,15,s2/t1
74,107,822870,7,s1/t2
75,108,823217,16,s2/t2
76,109,823666,8,s1/t3
77,110,823916,17,s2/t3
78,111,824418,9,s1/t4
79,112,824564,18,s2/t4
80,113,825134,10,s1/t5
81,114,825227,19,s2/t5
82,115,825875,20,s2/t6
83,116,825888,11,s1/t6
84,117,826579,21,s2/t7
85,118,826632,12,s1/t7
86,119,827312,22,s2/t8
87,120,827361,13,s1/t8
88,121,828038,14,s1/t9
89,122,828078,23,s2/t9
90,127,834228,15,s2/t1
91,128,834491,6,s1/t1
92,129,835008,16,s2/t2
93,130,835068,7,s1/t2
94,131,835683,17,s2/t3
95,132,835743,8,s1/t3
96,133,836315,18,s2/t4
97,134,836427,9,s1/t4
98,135,836951,19,s2/t5
99,136,837043,10,s1/t5
100,137,837661,20,s2/t6
101,138,837702,11,s1/t6
102,139,838331,21,s2/t7
103,140,838398,12,s1/t7
104,141,839016,22,s2/t8
105,142,839055,13,s1/t8
106,143,839678,23,s2/t9
107,144,839706,14,s1/t9
108,149,846403,6,s1/t1
109,150,846628,15,s2/t1
110,151,847191,16,s2/t2
111,152,847281,7,s1/t2
112,153,847850,17,s2/t3
113,154,847931,8,s1/t3
114,155,848488,18,s2/t4
115,156,848560,9,s1/t4
116,157,849132,19,s2/t5
117,158,849180,10,s1/t5
118,159,849777,20,s2/t6
119,160,849866,11,s1/t6
120,161,850444,21,s2/t7
121,162,850475,12,s1/t7
122,163,851103,22,s2/t8
123,164,851114,13,s1/t8
124,165,851721,23,s2/t9
125,166,851756,14,s1/t9
126,171,857886,15,s2/t1
127,172,858138,6,s1/t1
128,173,858583,16,s2/t2
129,174,858672,7,s1/t2
130,175,859266,17,s2/t3
131,176,859294,8,s1/t3
132,177,859909,18,s2/t4
133,178,859940,9,s1/t4
134,179,860552,19,s2/t5
135,180,860618,10,s1/t5
136,181,861185,20,s2/t6
137,182,861258,11,s1/t6
138,183,861847,21,s2/t7
139,184,861876,12,s1/t7
140,185,862464,13,s1/t8
141,186,862474,22,s2/t8
142,187,863118,23,s2/t9
143,188,863150,14,s1/t9
144,193,869033,6,s1/t1
145,194,869295,15,s2/t1
146,195,869767,7,s1/t2
147,196,869879,16,s2/t2
148,197,871033,8,s1/t3
149,198,871210,17,s2/t3
150,199,871790,9,s1/t4
151,200,871894,18,s2/t4
152,201,872429,10,s1/t5
153,202,872546,19,s2/t5
154,203,873126,11,s1/t6
155,204,873199,20,s2/t6
156,205,873822,12,s1/t7
157,206,873886,21,s2/t7
158,207,874542,13,s1/t8
159,208,874555,22,s2/t8
160,209,875177,23,s2/t9
161,210,875203,14,s1/t9
162,215,881217,15,s2/t1
163,216,881520,6,s1/t1
164,217,882138,16,s2/t2
165,218,882291,7,s1/t2
166,219,882787,17,s2/t3
167,220,882886,8,s1/t3
168,221,883453,18,s2/t4
169,222,883481,9,s1/t4
170,223,884086,19,s2/t5
171,224,884159,10,s1/t5
172,225,884774,20,s2/t6
173,226,884784,11,s1/t6
174,227,885415,21,s2/t7
175,228,885442,12,s1/t7
176,229,886079,22,s2/t8
177,230,886127,13,s1/t8
178,231,886756,23,s2/t9
179,232,886765,14,s1/t9
180,237,892549,6,s1/t1
181,238,892822,15,s2/t1
182,239,893278,7,s1/t2
183,240,893484,16,s2/t2
184,241,894047,8,s1/t3
185,242,894089,17,s2/t3
186,243,894688,9,s1/t4
187,244,894745,18,s2/t4
188,245,895354,10,s1/t5
189,246,895410,19,s2/t5
190,247,896043,11,s1/t6
191,248,896096,20,s2/t6
192,249,896737,12,s1/t7
193,250,896748,21,s2/t7
194,251,897426,22,s2/t8
195,252,897438,13,s1/t8
196,253,898064,14,s1/t9
197,254,898119,23,s2/t9
198,259,904486,6,s1/t1
199,260,904772,15,s2/t1
200,261,905387,7,s1/t2
201,262,905478,16,s2/t2
202,263,906081,8,s1/t3
203,264,906182,17,s2/t3
204,265,906883,18,s2/t4
205,266,906896,9,s1/t4
206,267,907573,10,s1/t5
207,268,907592,19,s2/t5
208,269,908264,11,s1/t6
209,270,908312,20,s2/t6
210,271,908967,12,s1/t7
211,272,909009,21,s2/t7
212,273,909623,13,s1/t8
213,274,909674,22,s2/t8
214,275,910320,14,s1/t9
215,276,910391,23,s2/t9
216,281,916394,15,s2/t1
